"year","indicator","perspective","group","country","amount","unit"
"1998","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.95877,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.24268,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",2.93943,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.18586,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.94076,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.65351,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.97946,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.71163,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",3.36662,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.2192,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.98235,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.74165,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.99062,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.5969,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",3.6456,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.17025,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.93683,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.87304,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.98087,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.38519,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.09484,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.14221,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.89367,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.93083,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.00958,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.00021,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.48372,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.21902,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.95135,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.22572,"Million tonnes CO2 eq."
"2003","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.00023,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.35019,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.115,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.3658,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.84727,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.40402,"Million tonnes CO2 eq."
"2004","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.0169,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.81203,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.8876,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.28274,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.77311,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.26071,"Million tonnes CO2 eq."
"2005","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.93254,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.01213,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.12439,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.36338,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.75116,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.26241,"Million tonnes CO2 eq."
"2006","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.96862,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.90945,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.7396,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.41599,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.61932,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.42061,"Million tonnes CO2 eq."
"2007","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.93317,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",8.10528,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.87289,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.37076,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.47374,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.37246,"Million tonnes CO2 eq."
"2008","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.89248,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",8.32084,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.60881,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.33469,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.35064,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.41189,"Million tonnes CO2 eq."
"2009","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.8429,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.82424,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.41116,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.19778,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.38063,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.72676,"Million tonnes CO2 eq."
"2010","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.84541,"Million tonnes CO2 eq."
"2011","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",8.05608,"Million tonnes CO2 eq."
"2011","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.82524,"Million tonnes CO2 eq."
